id;fecha;estilo;owner_paso;nivel;tipo;descripcion_larga;donde;descripcion_corta
23;2026-01-24;Porro;wtejada;Beginner;Paso Básico;Desde vuelta espalda, separarse de la pareja con un leve empujon y quedar mirando al otro lado nuevamente de espaldas y en 5tas;Villanueva;Vuelta espalda enchulada
24;2026-01-24;Porro;wtejada;Beginner;Paso Básico;Se puede entrar desde vuelta hojal con agarre no saludo se entra a este paso, los pies son haciendo 5tas todo el tiempo.;Villanueva;Colgaditas
25;2026-01-24;Porro;wtejada;Beginner;Paso Básico;8s caminando hacia atras (en algunos casos, hacia adelante también);Villanueva;Ochos atras
26;2026-01-24;Porro;wtejada;Beginner;Paso Básico;Se inicia desde Ochos, o desde otros pasos, Sirve para iniciar el enlace, gancho y avanzo. Usualmente es con PD,;Villanueva;Gancho
27;2026-01-24;Porro;wtejada;Beginner;Paso Básico;Se inicia desde varios pasos, por ejemplo, gancho, luego una barrida circular con PI (adorno) y luego 1 por detras,2 neutro,3 por encima (el 1,2,3 es mas rapido que en los extremos).;Villanueva;Rondellá
